feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,class
0.6223295,0.7785952,-1.6830111e-07,0.58732796,0.7865505,-0.022391329,0.5455698,0.76240003,-0.040239125,0.5346239,0.7281282,-0.05624105,0.53705543,0.6963911,-0.07194408,0.53632444,0.6492382,-0.03698214,0.49794412,0.5856165,-0.06257116,0.46864143,0.54111606,-0.08183544,0.44544876,0.506596,-0.096778214,0.5726402,0.63011354,-0.038704228,0.551956,0.63609374,-0.067777984,0.55997777,0.6833162,-0.07393392,0.57300127,0.7081199,-0.0752802,0.60856706,0.63441885,-0.04277498,0.5892671,0.6467596,-0.06762809,0.594013,0.6879412,-0.056786392,0.6033271,0.7079265,-0.04706266,0.6430976,0.65017486,-0.049285494,0.62608737,0.65909106,-0.06735707,0.6241173,0.693695,-0.05834417,0.62898576,0.71230775,-0.048740435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.63939613,0.79078704,-2.407207e-07,0.6021857,0.79976654,-0.015617322,0.55048007,0.77039516,-0.026575267,0.53037995,0.7264148,-0.037217595,0.52451605,0.69043076,-0.04796792,0.54092246,0.65436614,-0.025194097,0.50060904,0.58854735,-0.048339345,0.471301,0.53998077,-0.067465,0.4479044,0.5015278,-0.08257458,0.5758392,0.6360316,-0.029572528,0.5477457,0.64410806,-0.058104258,0.55496466,0.6980264,-0.06360066,0.5688883,0.72855,-0.06354951,0.61100495,0.63826996,-0.036053486,0.58507663,0.6521775,-0.059842467,0.5877257,0.7028486,-0.04701434,0.5968379,0.73086065,-0.035157297,0.64598495,0.6535007,-0.044781435,0.6204372,0.6606581,-0.061879832,0.616284,0.7021138,-0.05140901,0.6222555,0.7255615,-0.040264558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.6568405,0.7403152,-2.4198846e-07,0.5997129,0.73563516,-0.0057761963,0.5437181,0.70067424,-0.011464348,0.52248126,0.6539406,-0.020001706,0.5197168,0.61922455,-0.029193863,0.54450047,0.57445407,-0.0039357226,0.51040256,0.53677565,-0.020843275,0.48638576,0.5087005,-0.035506655,0.46730423,0.4826374,-0.04707669,0.57549846,0.55456924,-0.012743095,0.5401428,0.57337755,-0.035171058,0.542372,0.6226308,-0.042150017,0.55220854,0.65335083,-0.042974737,0.6074388,0.5567724,-0.023532586,0.5738435,0.5935022,-0.043772504,0.57590723,0.6413647,-0.037186842,0.5844423,0.6694336,-0.028969951,0.63837767,0.57474923,-0.035916563,0.60818005,0.60897493,-0.048807953,0.60489976,0.64936805,-0.04192182,0.608917,0.67372185,-0.033511445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.6532222,0.6818174,-9.1620876e-08,0.5912999,0.67577755,-0.00657114,0.5263258,0.6488177,-0.013693245,0.48041564,0.6444644,-0.024113448,0.4451748,0.66248024,-0.036727324,0.53286064,0.5221268,-0.0023705068,0.49599874,0.47275594,-0.019717777,0.4694334,0.4331289,-0.035097513,0.44446617,0.40122208,-0.047399264,0.56458294,0.4991278,-0.011944149,0.52114934,0.51449794,-0.037298422,0.5241949,0.5739252,-0.043667912,0.5361982,0.6108789,-0.04227796,0.5984007,0.4983706,-0.023932632,0.55777353,0.5305549,-0.044333175,0.56115556,0.58233637,-0.03639253,0.5723439,0.6089301,-0.026010532,0.6332738,0.5116735,-0.037689816,0.598492,0.54253983,-0.04757252,0.59662485,0.5822564,-0.038277995,0.60469145,0.6013593,-0.028273348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.6385752,0.6548765,-1.6044619e-07,0.5858271,0.6570432,-0.00888258,0.52214307,0.6271257,-0.017332945,0.47658536,0.61699444,-0.029025719,0.44275594,0.63861024,-0.042076383,0.5277294,0.4730542,-0.0022045795,0.49160808,0.42007178,-0.019137753,0.46228528,0.38505337,-0.031587046,0.4402453,0.35630393,-0.041933626,0.5607888,0.44924498,-0.012069537,0.5086488,0.457707,-0.035976067,0.5124813,0.5185583,-0.038519364,0.52829516,0.54336494,-0.034527987,0.59636873,0.44888914,-0.02499518,0.546539,0.47846165,-0.048062675,0.5505867,0.5341038,-0.03770447,0.56540453,0.54980826,-0.025351249,0.6316046,0.46459565,-0.039884668,0.58973616,0.49713466,-0.053727325,0.587332,0.5425551,-0.044273127,0.5980346,0.55941075,-0.033666063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.6404406,0.6545601,-1.6173581e-07,0.5828883,0.6518187,-0.011455427,0.52031654,0.6224115,-0.024016865,0.47333592,0.6156194,-0.04004614,0.4387269,0.6444572,-0.05744497,0.5241219,0.47197467,-0.0064327605,0.48420972,0.4128602,-0.02503276,0.45376348,0.3710562,-0.03882064,0.42973483,0.3393641,-0.050196595,0.5577182,0.44813412,-0.016703386,0.5100615,0.45915738,-0.042580966,0.5144136,0.51825166,-0.046554517,0.52987444,0.5442788,-0.044037707,0.59398097,0.44810298,-0.030094903,0.5462663,0.47592682,-0.052470315,0.5498954,0.52966857,-0.042478114,0.5643922,0.5501118,-0.031560965,0.63097394,0.46350485,-0.046038378,0.5892902,0.49875626,-0.05741104,0.5876578,0.5425279,-0.0474822,0.5995702,0.55988026,-0.03759627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.6455977,0.6217432,-8.672847e-08,0.5841551,0.6151848,-0.016218917,0.51954186,0.5899406,-0.033504497,0.4675256,0.5880272,-0.05385286,0.43055394,0.6197269,-0.07552714,0.52188224,0.44189063,-0.013397941,0.4774467,0.38010457,-0.034755696,0.44794598,0.3335953,-0.04891632,0.42573735,0.2990716,-0.060341373,0.5578687,0.41747338,-0.0226366,0.5050334,0.4359249,-0.05642879,0.51253283,0.5043257,-0.061549887,0.5303231,0.535752,-0.0569897,0.5958057,0.41801128,-0.035163898,0.5413886,0.45303422,-0.06443621,0.5510561,0.5114933,-0.054100547,0.56877244,0.5343504,-0.04041934,0.6320424,0.4349848,-0.050366756,0.5889671,0.48260087,-0.06753037,0.5924586,0.52437913,-0.059321743,0.6070983,0.5340318,-0.04890529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.6520504,0.61295724,-1.5838e-07,0.5865748,0.6040634,-0.012445903,0.519872,0.5802814,-0.028528083,0.4688307,0.5834183,-0.04867411,0.4329597,0.6144061,-0.07017999,0.5266763,0.4240742,-0.010990384,0.4820304,0.36623794,-0.031137362,0.45207775,0.32418463,-0.043554492,0.42973876,0.2911275,-0.054088738,0.56157935,0.40301147,-0.02229931,0.5012679,0.43012118,-0.052550573,0.5132238,0.4959603,-0.05629701,0.5358373,0.51661426,-0.05245917,0.5981622,0.40610355,-0.036659233,0.5408772,0.45398948,-0.06388342,0.55193365,0.5086853,-0.053145558,0.5709875,0.51947975,-0.040650483,0.6316402,0.42577502,-0.053432893,0.5852237,0.47855183,-0.06858471,0.590514,0.5192031,-0.059064668,0.6072448,0.5239435,-0.048714958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.65180546,0.6157418,-1.6453266e-07,0.58662975,0.60384214,-0.0124841435,0.52021354,0.57635605,-0.028080218,0.47032505,0.5815907,-0.047844604,0.43513262,0.61239165,-0.06898871,0.52597463,0.42305684,-0.010231759,0.48020333,0.3641472,-0.031572457,0.45189714,0.32225525,-0.044943992,0.43129772,0.28876323,-0.055901993,0.56189936,0.40355486,-0.0220687,0.5021901,0.42782053,-0.055342298,0.51332754,0.4947069,-0.06084234,0.53521234,0.51772845,-0.05733756,0.5988436,0.40774083,-0.037145745,0.54084325,0.4520907,-0.06715535,0.55189764,0.5076925,-0.057480484,0.5706194,0.5183134,-0.04480904,0.63238,0.42798278,-0.054483954,0.58558583,0.47938955,-0.071154885,0.59077466,0.5204813,-0.061818942,0.60698354,0.5241562,-0.0512277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.65534794,0.61125904,-1.9438683e-07,0.58944017,0.59952676,-0.012514659,0.52368325,0.57341886,-0.027630743,0.47459006,0.5733042,-0.047039505,0.44115788,0.5988548,-0.067422,0.529084,0.42054823,-0.009136134,0.4850533,0.35935315,-0.03033893,0.45668396,0.31653875,-0.043252744,0.435274,0.28275716,-0.053800717,0.56463784,0.39926073,-0.02067304,0.50328594,0.4244977,-0.053065598,0.5137073,0.49184406,-0.057433955,0.53516996,0.5156576,-0.05326592,0.6007967,0.40259027,-0.035603333,0.54234856,0.4477373,-0.06504399,0.55424565,0.50342536,-0.054555405,0.5738548,0.5166995,-0.04123372,0.63392687,0.42269123,-0.052967608,0.58778465,0.4754015,-0.06933102,0.59229165,0.5163463,-0.060282093,0.6075777,0.52313936,-0.049752153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
